id,pid,series_tag,name
kw177973871,177973871,LINEA VASCA Liscio,LINEA VASCA Liscio ダークブラウン
kw177973968,177973968,LINEA VASCA Liscio,LINEA VASCA Liscio トッポ
kw180707713,180707713,LINEA VASCA Liscio,LINEA VASCA Liscio トルケーゼ
kw180707712,180707712,LINEA VASCA Liscio,LINEA VASCA Liscio ナチュラーレ
kw177973960,177973960,LINEA VASCA Liscio,LINEA VASCA Liscio ネイビー
kw177973979,177973979,LINEA VASCA Liscio,LINEA VASCA Liscio ネロ
kw177973910,177973910,LINEA VASCA Liscio,LINEA VASCA Liscio フクシア
kw177973918,177973918,LINEA VASCA Liscio,LINEA VASCA Liscio フラゴラ
kw177973924,177973924,LINEA VASCA Liscio,LINEA VASCA Liscio ヴェルデ
lvb_ort,174657061,LINEA VASCA Box,LINEA VASCA Box オルティーカ
lvb_cas,174657044,LINEA VASCA Box,LINEA VASCA Box カスターニャ
lvb_cob,174657065,LINEA VASCA Box,LINEA VASCA Box コバルト
lvb_ses,174657027,LINEA VASCA Box,LINEA VASCA Box セサンタ（60）
lvb_dkb,174657035,LINEA VASCA Box,LINEA VASCA Box ダークブラウン
lvb_top,174657080,LINEA VASCA Box,LINEA VASCA Box トッポ（灰）
lvb_tur,180707715,LINEA VASCA Box,LINEA VASCA Box トルケーゼ
lvb_nat,180707714,LINEA VASCA Box,LINEA VASCA Box ナチュラーレ
lvb_nav,174657071,LINEA VASCA Box,LINEA VASCA Box ネイビー
lvb_ner,174657087,LINEA VASCA Box,LINEA VASCA Box ネロ（黒）
lvb_fux,174657048,LINEA VASCA Box,LINEA VASCA Box フクシア
lvb_fra,174657051,LINEA VASCA Box,LINEA VASCA Box フラゴラ
lvb_ver,174657054,LINEA VASCA Box,LINEA VASCA Box ヴェルデ（緑）
mfog_all,174217722,MARGOT FOG,MARGOT FOG アローロ
mfog_cas,174217690,MARGOT FOG,MARGOT FOG カスターニャ
mfog_cob,174218213,MARGOT FOG,MARGOT FOG コバルト
mfog_gir,174217715,MARGOT FOG,MARGOT FOG ジラソーレ
mfog_top,174218224,MARGOT FOG,MARGOT FOG トッポ（灰）
mfog_tur,174217729,MARGOT FOG,MARGOT FOG トルケーゼ（青緑）
mfog_nat,174217652,MARGOT FOG,MARGOT FOG ナチュラーレ
mfog_nav,174218218,MARGOT FOG,MARGOT FOG ネイビー
mfog_ner,174218268,MARGOT FOG,MARGOT FOG ネロ（黒）
mfog_fux,174217697,MARGOT FOG,MARGOT FOG フクシア
mfog_fra,174217708,MARGOT FOG,MARGOT FOG フラゴラ
mfog_brn,174217655,MARGOT FOG,MARGOT FOG ブラウン
mg_all,158805427,MARGOT,MARGOT アローロ
kw188691587,188691587,MARGOT,MARGOT アヴィオ
mg_olm,183786767,MARGOT,MARGOT オルモ
mg_top,158805672,MARGOT,MARGOT トッポ（灰）
kw142026124,142026124,MARGOT,MARGOT コバルト
mg_gir,142042006,MARGOT,MARGOT ジラソーレ
mg_dkb,140633333,MARGOT,MARGOT ダークブラウン
mg_cas,166876910,MARGOT,MARGOT カスターニャ
mg_tur,170334361,MARGOT,MARGOT トルケーゼ
mg_nat,166876687,MARGOT,MARGOT ナチュラーレ
mg_nav,158805629,MARGOT,MARGOT ネイビー
mg_bur,183827962,MARGOT,MARGOT バーガンディ
mg_fie,183827901,MARGOT,MARGOT フィエーノ
mg_fux,166877020,MARGOT,MARGOT フクシア
mg_fra,158805363,MARGOT,MARGOT フラゴラ
mg_brn,142042272,MARGOT,MARGOT ブラウン
mg_ner,142026525,MARGOT,MARGOT ネロ（黒）
kw188691341,188691341,MARGOT,MARGOT プラト
mg_bos,183828000,MARGOT,MARGOT ボスコ
mg_man,158805358,MARGOT,MARGOT マンダリーノ
mg_men,166877083,MARGOT,MARGOT メンタ（薄緑）
mg_lil,166876967,MARGOT,MARGOT リラ（薄紫）
mg_ros,188691265,MARGOT,MARGOT ローサ（桃）
kw176618416,176618416,TEXAS,TEXAS アガベ
kw176617989,176617989,TEXAS,TEXAS アンブラ
kw176618366,176618366,TEXAS,TEXAS オクラ
kw176146678,176146678,TEXAS,TEXAS キャメロ
kw176618223,176618223,TEXAS,TEXAS クオイオ
kw176618274,176618274,TEXAS,TEXAS シエナ
kw176618310,176618310,TEXAS,TEXAS ティー・モロ
kw176618431,176618431,TEXAS,TEXAS ネイビー
kw176618488,176618488,TEXAS,TEXAS ネロ
kw176618285,176618285,TEXAS,TEXAS パパヤ
kw176618472,176618472,TEXAS,TEXAS ピオンボ
kw176618348,176618348,TEXAS,TEXAS フィエスタ
kw176618328,176618328,TEXAS,TEXAS プルーニャ
kw176618374,176618374,TEXAS,TEXAS ラトゥーガ
kw176618445,176618445,TEXAS,TEXAS ヴィオラ
kw176618381,176618381,TEXAS,TEXAS ヴェルデ
kw172113060,172113060,SIBILLA Liscio,SIBILLA Liscio アガベ
kw168532565,168532565,SIBILLA Liscio,SIBILLA Liscio イリス
kw175192406,175192406,SIBILLA Liscio,SIBILLA Liscio クロロフィラ
kw168532634,168532634,SIBILLA Liscio,SIBILLA Liscio グラファイト
kw168532629,168532629,SIBILLA Liscio,SIBILLA Liscio チェネレ
kw168532438,168532438,SIBILLA Liscio,SIBILLA Liscio ティー・モロ
kw168532402,168532402,SIBILLA Liscio,SIBILLA Liscio デセルト
kw168532468,168532468,SIBILLA Liscio,SIBILLA Liscio トルケーゼ
kw168532417,168532417,SIBILLA Liscio,SIBILLA Liscio トルトラ
kw168532544,168532544,SIBILLA Liscio,SIBILLA Liscio ネイビー
kw168532644,168532644,SIBILLA Liscio,SIBILLA Liscio ネロ
