size_label,aliases,usage_pct,note
Micro5,Mini5（M5）|Mini5|M5,4,仮値・要調整
Mini6（M6）,Mini6|M6,5,仮値・要調整
バイブル,Bible,6,仮値・要調整
A6,,6,仮値・要調整
B6,,7,仮値・要調整
A5,,8,仮値・要調整
