planner_type,ring_id,series,series_label,maker,size_label,size_mm,color_id,color_label,finish_label,check_enabled,ui_visible,ui_order,price_jpy,stock_status,stock_qty,lead_time_days,monitor_enabled,price_min_jpy,price_max_jpy,preferred_source_shop,preferred_source_url,preferred_source_price_jpy,preferred_source_shipping_jpy,preferred_last_checked,source_shop_1,source_url_1,source_price_1_jpy,source_shipping_1_jpy,source_checked_1,source_shop_2,source_url_2,source_price_2_jpy,source_shipping_2_jpy,source_checked_2,source_shop_3,source_url_3,source_price_3_jpy,source_shipping_3_jpy,source_checked_3,crawl_updated_flag,crawl_updated_at_jst,crawl_updated_run_id,crawl_updated_from_shop,note
A5,kl20,klause,クラウゼリング,KRAUSE,20mm,20,gold,ゴールド,本金,TRUE,TRUE,141,4785,in_stock,1,,TRUE,4785,4785,Rakuten lc-palette,https://item.rakuten.co.jp/lc-palette/e73061p/,4785,0,2026-08-20,Rakuten lc-palette,https://item.rakuten.co.jp/lc-palette/e73061p/,4785,0,2026-08-20,レザークラフト材料専門店ぱれっと,https://item.rakuten.co.jp/lc-palette/e73061p/,4785,0,2026-08-20,,,,,A6実写あり,TRUE,2026-08-09 08:30:31,20260809-082943,レザークラフト材料専門店ぱれっと,
A5,kl20,klause,クラウゼリング,KRAUSE,20mm,20,pinkgold,ピンクゴールド,ピンクゴールド,TRUE,TRUE,142,4785,in_stock,1,,TRUE,4785,4785,Rakuten lc-palette,https://item.rakuten.co.jp/lc-palette/e73061p/,4785,0,2026-08-20,Rakuten lc-palette,https://item.rakuten.co.jp/lc-palette/e73061p/,4785,0,2026-08-20,レザークラフト材料専門店ぱれっと,https://item.rakuten.co.jp/lc-palette/e73061p/,4785,0,2026-08-20,,,,,A6実写あり,TRUE,2026-08-09 08:30:31,20260809-082943,レザークラフト材料専門店ぱれっと,
A5,kl20,klause,クラウゼリング,KRAUSE,20mm,20,black,ブラックゴールド,黒ニッケル,TRUE,TRUE,143,4631,in_stock,0,,TRUE,4631,4631,Rakuten lc-palette,https://item.rakuten.co.jp/lc-palette/e73061p/,4631,0,2026-08-20,Rakuten lc-palette,https://item.rakuten.co.jp/lc-palette/e73061p/,4631,0,2026-08-20,レザークラフト材料専門店ぱれっと,https://item.rakuten.co.jp/lc-palette/e73061p/,4631,0,2026-08-20,,,,,A6実写あり,TRUE,2026-08-09 08:30:31,20260809-082943,レザークラフト材料専門店ぱれっと,
Bible,kl25,klause,クラウゼリング,KRAUSE,25mm,25,silver,シルバー,ニッケル,TRUE,TRUE,150,1771,in_stock,1,,TRUE,1771,1771,レザークラフト材料専門店ぱれっと,https://item.rakuten.co.jp/lc-palette/eg1017/,1771,0,2026-08-20,レザークラフト材料専門店ぱれっと,https://item.rakuten.co.jp/lc-palette/eg1017/,1771,0,2026-08-20,,,,,,,,,,クラウゼ標準候補,TRUE,2026-08-09 08:30:43,20260809-082943,レザークラフト材料専門店ぱれっと,
A5,kl30,klause,クラウゼリング,KRAUSE,30mm,30,silver,シルバー,ニッケル,TRUE,TRUE,160,3355,in_stock,1,,TRUE,3355,3355,レザークラフト材料専門店ぱれっと,https://item.rakuten.co.jp/lc-palette/eg1077/,3355,0,2026-08-20,レザークラフト材料専門店ぱれっと,https://item.rakuten.co.jp/lc-palette/eg1077/,3355,0,2026-08-20,,,,,,,,,,クラウゼ標準候補,TRUE,2026-08-09 08:30:54,20260809-082943,レザークラフト材料専門店ぱれっと,
Mini6,m6k20,klause,クラウゼリング,KRAUSE,20mm,20,black,ブラック,ブラック,TRUE,TRUE,161,2937,in_stock,2,,FALSE,2937,2937,レザークラフト材料専門店ぱれっと,https://item.rakuten.co.jp/lc-palette/eg1075/,2937,0,2026-08-20,レザークラフト材料専門店ぱれっと,https://item.rakuten.co.jp/lc-palette/eg1075/,2937,0,2026-08-20,,,,,,,,,,,TRUE,2026-08-09 08:36:57,20260809-083525,レザークラフト材料専門店ぱれっと,
Mini6,m6k20,klause,クラウゼリング,KRAUSE,20mm,20,gold,ゴールド,ゴールド,TRUE,TRUE,162,3000,in_stock,2,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro5,m5n15,normal,通常リング,,15mm,15,silver,シルバー,シルバー,TRUE,TRUE,163,1500,in_stock,10,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro5,m5k8,klause,クラウゼリング,,8mm,8,silver,シルバー,シルバー,TRUE,TRUE,164,3000,in_stock,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro5,m5n20,normal,通常リング,,20mm,20,silver,シルバー,シルバー,TRUE,TRUE,165,2000,in_stock,10,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro5,m5n25,normal,通常リング,,25mm,25,silver,シルバー,シルバー,TRUE,TRUE,166,2000,in_stock,10,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini6,m6n10,normal,通常リング,,10mm,10,silver,シルバー,シルバー,TRUE,TRUE,169,550,in_stock,1,,FALSE,550,550,Gadget Store,https://gadget.ocnk.net/product/272,550,0,2026-08-20,Gadget Store,https://gadget.ocnk.net/product/272,550,0,2026-08-20,,,,,,,,,,,TRUE,2026-08-09 08:36:59,20260809-083525,Gadget Store,
A6,a6k20,klause,クラウゼリング,,20mm,20,gold,ゴールド,ゴールド,TRUE,TRUE,170,5000,in_stock,10,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,a6k20,klause,クラウゼリング,,20mm,20,silver,シルバー,シルバー,TRUE,TRUE,171,5000,in_stock,10,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,a6n30,normal,通常リング,,30mm,30,silver,シルバー,シルバー,TRUE,TRUE,172,5000,in_stock,10,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini6,m6k10,klause,クラウゼリング,,10mm,10,gold,ゴールド,ゴールド,TRUE,TRUE,173,1500,in_stock,1,,FALSE,1500,1500,Gadget Store 楽天市場店,https://item.rakuten.co.jp/gadgetstore/c127-6-10/?variantId=r-sku00000002&s-id=ph_pc_itemname,1210,290,2026-08-05,,,,,,,,,,,,,,,,,,,,
Micro5,kl11,klause,クラウゼリング,KRAUSE,11mm,11,gold,ゴールド,本金,TRUE,TRUE,174,2079,in_stock,1,,FALSE,2079,2079,レザークラフト材料専門店ぱれっと,https://item.rakuten.co.jp/lc-palette/eg1013/,2079,0,2026-08-20,レザークラフト材料専門店ぱれっと,https://item.rakuten.co.jp/lc-palette/eg1013/,2079,0,2026-08-20,,,,,,,,,,,TRUE,2026-08-09 08:31:06,20260809-082943,レザークラフト材料専門店ぱれっと,ネット調査登録2026-08-08・実在庫要確認
